id_barrio_oficial,ciudad,distrito_oficial,barrio_oficial,barrio_turistico_objetivo
219124,Barcelona,Horta-Guinardó,Horta,0
244125,Barcelona,Sants-Montjuïc,Hostafrancs,1
139126,Madrid,Retiro,Ibiza,1
102127,Madrid,Arganzuela,Imperial,0
325128,Valencia,L'Eixample (Valencia),Jaume Roig,1
139129,Madrid,Retiro,Jerónimos,1
109130,Madrid,Centro,Justicia,1
301131,Valencia,Algirós,L'Amistat,0
321132,Valencia,Jesús,L'Hort de Senabre,0
301133,Valencia,Algirós,L'Illa Perduda,0
213134,Barcelona,Ciutat Vella,La Barceloneta,1
337135,Valencia,Quatre Carreres,La Bega Baixa,0
244136,Barcelona,Sants-Montjuïc,La Bordeta,0
301137,Valencia,Algirós,La Carrasca,0
219138,Barcelona,Horta-Guinardó,La Clota,0
321139,Valencia,Jesús,La Creu Coberta,0
306140,Valencia,Camins al Grau,La Creu del Grau,0
219141,Barcelona,Horta-Guinardó,La Font d'en Fargues,0
244142,Barcelona,Sants-Montjuïc,La Font de la Guatlla,1
327143,Valencia,L'Olivereta,La Fontsanta,0
230144,Barcelona,Nou Barris,La Guineueta,0
327145,Valencia,L'Olivereta,La Llum,0
335146,Valencia,Poblats Marítims,La Malva-rosa,1
244147,Barcelona,Sants-Montjuïc,La Marina del Prat Vermell,0
226148,Barcelona,Les Corts,La Maternitat i Sant Ramon,0
117149,Madrid,Fuencarral-El Pardo,La Paz,0
316150,Valencia,Extramurs,La Petxina,0
230151,Barcelona,Nou Barris,La Prosperitat,0
337152,Valencia,Quatre Carreres,La Punta,0
321153,Valencia,Jesús,La Raiosa,0
314154,Valencia,Ciutat Vella (Valencia),La Roqueta,1
242155,Barcelona,Sant Andreu,La Sagrera,0
218156,Barcelona,Gràcia,La Salut,0
314157,Valencia,Ciutat Vella (Valencia),La Seu,1
219158,Barcelona,Horta-Guinardó,La Teixonera,0
334159,Valencia,Poblats del Sud,La Torre,0
230160,Barcelona,Nou Barris,La Trinitat Nova,0
242161,Barcelona,Sant Andreu,La Trinitat Vella,0
219162,Barcelona,Horta-Guinardó,La Vall d'Hebron,0
243163,Barcelona,Sant Martí,La Verneda i la Pau,0
243164,Barcelona,Sant Martí,La Vila Olímpica del Poblenou,1
314165,Valencia,Ciutat Vella (Valencia),La Xerea,1
244166,Barcelona,Sants-Montjuïc,La Zona Franca - Port,0
123167,Madrid,Latina,Las Águilas,0
102168,Madrid,Arganzuela,Legazpi,0
226169,Barcelona,Les Corts,Les Corts,0
230170,Barcelona,Nou Barris,Les Roquetes,0
322171,Valencia,La Saïdia,Les Tendetes,0
245172,Barcelona,Sarrià-Sant Gervasi,Les Tres Torres,0
140173,Madrid,Salamanca,Lista,1
123174,Madrid,Latina,Los Cármenes,0
150175,Madrid,Villaverde,Los Rosales,0
150176,Madrid,Villaverde,Los Ángeles,0
123177,Madrid,Latina,Lucero,0
337178,Valencia,Quatre Carreres,Malilla,0
