base_datos,id_anuncio,precio_inmueble,precio_m2,tipo_inmueble,habitaciones,baños,metros_cuadrados,num_planta,id_barrio_oficial,dias_publicado,detalles_extra,segmento_precio,segmento_precio_m2,ciudad,barrio_oficial,precio_noche_estimado,ocupacion_media_estimada,nivel_precio,puntuacion_ROI365,ROI365_%,outlier_roi365
Idealista,110866858,349000.0,5453.125,Piso,1.0,,64.0,2.0,112224,,Ascensor | Exterior,Entrada,Medio,Madrid,Quintana,96.9,0.2708,3-ciudad+habitaciones,Baja rentabilidad,1.78,False
Idealista,108247241,207000.0,4404.255319148936,Piso,1.0,,47.0,2.0,213101,,,Entrada,Entrada,Barcelona,El Raval,159.0,0.2589,1-barrio+habitaciones,Baja rentabilidad,4.72,False
Idealista,109819131,190000.0,4222.222222222223,Piso,1.0,,45.0,2.0,213089,,Exterior,Entrada,Entrada,Barcelona,El Gòtic,147.34,0.2283,1-barrio+habitaciones,Baja rentabilidad,4.2,False
Idealista,108160355,590000.0,2744.186046511628,Piso,6.0,,215.0,2.0,316150,,Ascensor | Exterior,Medio,Entrada,Valencia,La Petxina,183.6,0.2776,3-ciudad+habitaciones,Baja rentabilidad,2.05,False
Idealista,108240914,530000.0,7571.428571428572,Piso,2.0,,70.0,2.0,109201,,Ascensor | Interior,Medio,Alto,Madrid,Palacio,149.6,0.2914,1-barrio+habitaciones,Baja rentabilidad,1.95,False
Idealista,108729181,350000.0,6034.482758620689,Piso,2.0,,58.0,2.0,109106,,Ascensor | Exterior,Entrada,Medio,Madrid,Embajadores,127.5,0.3064,1-barrio+habitaciones,Baja rentabilidad,2.65,False
Idealista,111186735,950000.0,6934.306569343065,Piso,2.0,,137.0,2.0,109201,,Ascensor | Exterior,Medio,Medio,Madrid,Palacio,149.6,0.2914,1-barrio+habitaciones,Baja rentabilidad,1.09,False
Idealista,110896970,1169000.0,12305.263157894737,Piso,3.0,,95.0,2.0,139126,,Ascensor | Exterior,Alto,Lujo,Madrid,Ibiza,187.85,0.2309,1-barrio+habitaciones,Baja rentabilidad,0.88,False
Idealista,110034092,1295000.0,9736.842105263158,Piso,3.0,,133.0,2.0,139126,,Ascensor | Exterior,Alto,Alto,Madrid,Ibiza,187.85,0.2309,1-barrio+habitaciones,Baja rentabilidad,0.79,False
Idealista,110633284,535000.0,4212.59842519685,Dúplex,4.0,,127.0,2.0,147010,,Exterior,Medio,Entrada,Madrid,Almendrales,304.3,0.2708,3-ciudad+habitaciones,Baja rentabilidad,3.65,False
