escenario,base_datos,id_anuncio,ciudad,barrio_oficial,id_barrio_oficial,tipo_inmueble,habitaciones,metros_cuadrados,num_planta,precio_inmueble,precio_noche_estimado,ocupacion_media_estimada,nivel_precio,ROI365_%,puntuacion_ROI365
E3_sin_barcelona,Idealista,109202471,Madrid,Sol,109256,Piso,4.0,104.0,2.0,850000.0,370.6,0.3349,1-barrio+habitaciones,3.46,Baja rentabilidad
E3_sin_barcelona,Idealista,110304303,Madrid,Cortes,109064,Piso,4.0,116.0,2.0,899000.0,385.9,0.3395,1-barrio+habitaciones,3.46,Baja rentabilidad
E3_sin_barcelona,Idealista,111200131,Madrid,Embajadores,109106,Piso,4.0,121.0,3.0,625000.0,296.225,0.3064,1-barrio+habitaciones,3.45,Baja rentabilidad
E3_sin_barcelona,Idealista,111349866,Madrid,Embajadores,109106,Piso,2.0,50.0,3.0,269000.0,127.5,0.3064,1-barrio+habitaciones,3.45,Baja rentabilidad
E3_sin_barcelona,Fotocasa,186400775,Madrid,Embajadores,109106,Piso,5.0,124.0,3.0,625000.0,296.225,0.3064,1-barrio+habitaciones,3.45,Baja rentabilidad
E3_sin_barcelona,Idealista,109316465,Madrid,Universidad,109265,Dúplex,2.0,60.0,0.0,293000.0,148.75,0.286,1-barrio+habitaciones,3.44,Baja rentabilidad
E3_sin_barcelona,Idealista,110993862,Madrid,Embajadores,109106,Piso,1.0,40.0,0.0,185000.0,87.55,0.3064,1-barrio+habitaciones,3.44,Baja rentabilidad
E3_sin_barcelona,Idealista,105243946,Madrid,Embajadores,109106,Piso,1.0,36.0,0.0,185300.0,87.55,0.3064,1-barrio+habitaciones,3.43,Baja rentabilidad
E3_sin_barcelona,Idealista,111172063,Madrid,Embajadores,109106,Piso,2.0,44.0,1.0,270000.0,127.5,0.3064,1-barrio+habitaciones,3.43,Baja rentabilidad
E3_sin_barcelona,Idealista,103656921,Madrid,Cortes,109064,Piso,2.0,58.0,4.0,335000.0,142.8,0.3395,1-barrio+habitaciones,3.43,Baja rentabilidad
